stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"14431","14431",Divisadero St & Oak St,37.773185,-122.43735,,"","","","","",""
"14433","14433",Divisadero St & Pine St,37.786997,-122.440317,,"","","","","",""
"14435","14435",Divisadero St & Sutter St,37.78515,-122.439939,,"","","","","",""
"14434","14434",Divisadero St & Sutter St,37.785338,-122.439813,,"","","","","",""
"14436","14436",Division St & Bryant St,37.76934,-122.41074,,"","","","","",""
"14437","14437",Division St & Rhode Island St,37.76976,-122.403152,,"","","","","",""
"14438","14438",Division St & Townsend St,37.769894,-122.403301,,"","","","","",""
"14440","14440",Donahue St & Innes Ave,37.729002,-122.369913,,"","","","","",""
"17860","17860",Donahue St & Innes Ave,37.728895,-122.370154,,"","","","","",""
"14727","14727",Don Chee Way/Steuart St,37.793918,-122.393438,,"","","","","",""
"14726","14726",Don Chee Way/Steuart St,37.794052,-122.393449,,"","","","","",""
"14443","14443",Douglass St & 24th St,37.75112,-122.43854,,"","","","","",""
"14444","14444",Douglass St & Alvarado St,37.75352,-122.43875,,"","","","","",""
"14445","14445",Drumm St & California St,37.79398,-122.39635,,"","","","","",""
"1913","1913",DUBLIN ST & LAGRANDE AVE,37.719192,-122.425802,,"","","","","",""
"14447","14447",Duboce Ave & Church St,37.769472,-122.429408,,"","","","","",""
"14448","14448",Duboce Ave & Church St,37.769409,-122.4294,,"","","","","",""
"17859","17859",Duboce Ave & Church St,37.769463,-122.429122,,"","","","","",""
"17252","17252",Duboce St/Noe St/Duboce Park,37.769357,-122.433557,,"","","","","",""
"14453","14453",Duncan St & Amber Dr,37.7452,-122.44141,,"","","","","",""
"17228","17228",DUNCAN ST & AMBER DR,37.746016,-122.443483,,"","","","","",""
"14454","14454",Duncan St & Cameo Way,37.74519,-122.44304,,"","","","","",""
"14455","14455",Duncan St & Diamond Heights Blvd,37.74526,-122.44029,,"","","","","",""
"14456","14456",Earl St & Kirkwood Ave,37.728779,-122.37313,,"","","","","",""
"14473","14473",Eddy St & Buchanan St,37.781767,-122.429141,,"","","","","",""
"14472","14472",Eddy St & Buchanan St,37.781919,-122.428946,,"","","","","",""
"14474","14474",Eddy St & Divisadero St,37.780546,-122.438759,,"","","","","",""
"14475","14475",Eddy St & Fillmore St,37.7815,-122.432236,,"","","","","",""
"14476","14476",Eddy St & Fillmore St,37.781348,-122.432431,,"","","","","",""
"14477","14477",Eddy St & Gough St,37.782516,-122.42427,,"","","","","",""
"14478","14478",Eddy St & Gough St,37.7824,-122.424201,,"","","","","",""
"14479","14479",Eddy St & Hyde St,37.783478,-122.415718,,"","","","","",""
"14480","14480",Eddy St & Jones St,37.783887,-122.412428,,"","","","","",""
"14485","14485",Eddy St & Laguna St,37.782017,-122.427227,,"","","","","",""
"14484","14484",Eddy St & Laguna St,37.782133,-122.427296,,"","","","","",""
