stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"882928","882928",2605 CENTRAL PKWY,37.710162,-121.854821,,"","","","","","0"
"882839","882839",285 LAS POSITAS RD,37.700593,-121.725195,,"Unit EB","","","","","0"
"882402","882402",3798 PIMLICO DR,37.700934,-121.86398,,"","","","","","0"
"881846","881846",4393   HOPYARD RD,37.687174,-121.903915,,"","","","","","0"
"881528","881528",4750 NORTH LIVERMORE AVE,37.696995,-121.773215,,"","","","","","0"
"881861","881861",4837   HOPYARD RD,37.690921,-121.903465,,"","","","","","0"
"881845","881845",4861   HOPYARD RD,37.692689,-121.90388,,"Hopyard Road & Stoneridge Drive","","","","","0"
"881527","881527",4992 NORTH  LIVERMORE AVE,37.693988,-121.77306,,"","","","","","0"
"881844","881844",5057   HOPYARD RD,37.695566,-121.903839,,"","","","","","0"
"881853","881853",5220 CASE AVE,37.652553,-121.88416,,"","","","","","0"
"881764","881764",5526   SPRINGDALE AVE,37.691157,-121.92577,,"SPRINGDALE AVE & UNNAMED ST","","","","","0"
"881866","881866",5753 LAS POSITAS BLVD,37.686207,-121.891654,,"W LAS POSITAS BLVD","","","","","0"
"882841","882841",5860 LAS POSITAS RD,37.700583,-121.725725,,"","","","","","0"
"881857","881857",6269   VALLEY AVE,37.667451,-121.897668,,"","","","","","0"
"882698","882698",6700 KOLL CENTER PKWY,37.660336,-121.902028,,"Unit NB & Wild Rose PL","","","","","0"
"882699","882699",6900 KOLL CENTER PKWY,37.662173,-121.900699,,"Unit EB & Wild Rose PL","","","","","0"
"881856","881856",6917   VALLEY AVE,37.663412,-121.897154,,"","","","","","0"
"881855","881855",7052   VALLEY AVE,37.660515,-121.896912,,"VALLEY AVE & PIEMONTE DR","","","","","0"
"883001","883001",ALAMEDA COUNTY HOJ,37.715163,-121.888053,,"0 HACIENDA DR","","","","","0"
"882355","882355",ALCOSTA BLVD & SAN RAMON RD,37.723021,-121.941747,,"","","","","","0"
"882867","882867",AMADOR VALLEY BLVD & PENN DR,37.714307,-121.920014,,"Unit WB","","","","","0"
"882871","882871",AMADOR VALLEY BLVD & PENN DR,37.714075,-121.920127,,"Unit EB","","","","","0"
