fare_id,route_id,origin_id,destination_id,contains_id
2241,SCS,57986,57986,
2239,14,57986,57986,
2239,16,57986,57986,
2239,17,57986,57986,
2239,18,57986,57986,
2239,19,57986,57986,
2239,24,57986,57986,
2239,25,57986,57986,
2239,28,57986,57986,
2239,29,57986,57986,
2239,35,57986,57986,
2239,37,57986,57986,
2239,38,57986,57986,
2239,39,57986,57986,
2239,46,57986,57986,
2239,49,57986,57986,
2239,53,57986,57986,
2239,54,57986,57986,
2239,55,57986,57986,
2239,56,57986,57986,
2239,57,57986,57986,
2239,58,57986,57986,
2239,59,57986,57986,
2239,60,57986,57986,
2239,61,57986,57986,
2239,62,57986,57986,
2239,67,57986,57986,
2239,68,57986,57986,
2239,72,57986,57986,
2239,73,57986,57986,
2239,79,57986,57986,
2239,80,57986,57986,
2239,81,57986,57986,
2239,82,57986,57986,
2239,83,57986,57986,
2239,84,57986,57986,
2239,85,57986,57986,
2239,87,57986,57986,
2239,88,57986,57986,
2239,95,57986,57986,
2239,110,57986,57986,
2239,112,57986,57986,
2239,118,57986,57986,
2239,120,57986,57986,
2239,121,57986,57986,
2239,122,57986,57986,
2239,130,57986,57986,
2239,140,57986,57986,
2239,141,57986,57986,
2239,250,57986,57986,
2239,251,57986,57986,
2239,256,57986,57986,
2239,260,57986,57986,
2239,270,57986,57986,
2239,274,57986,57986,
2239,275,57986,57986,
2239,276,57986,57986,
2239,278,57986,57986,
2239,280,57986,57986,
2239,281,57986,57986,
2239,286,57986,57986,
2239,292,57986,57986,
2239,294,57986,57986,
2239,295,57986,57986,
2239,296,57986,57986,
2239,397,57986,57986,
2239,398,57986,57986,
2239,ECR,57986,57986,
2239,ECR Rapid,57986,57986,
2239,FLX,57986,57986,
2239,SFO,57986,57986,
2240,292,57987,57986,
2240,397,57987,57986,
