fare_id,route_id,origin_id,destination_id,contains_id
2281,101,,,
2284,101,,,
2281,102,,,
2284,102,,,
2281,103,,,
2284,103,,,
2281,104,,,
2284,104,,,
2281,120,,,
2284,120,,,
2281,121,,,
2284,121,,,
2281,122,,,
2284,122,,,
2281,140,,,
2284,140,,,
2281,168,,,
2284,168,,,
2281,180,,,
2284,180,,,
2281,181,,,
2284,181,,,
2281,182,,,
2284,182,,,
2281,185,,,
2284,185,,,
2280,12,,,
2280,13,,,
2280,14,,,
2280,16,,,
2280,17,,,
2280,18,,,
2280,19,,,
2280,200,,,
2280,22,,,
2280,23,,,
2280,25,,,
2280,251,,,
2280,26,,,
2280,27,,,
2280,304,,,
2280,31,,,
2280,32,,,
2280,321,,,
2280,323,,,
2280,328,,,
2280,330,,,
2280,34,,,
2280,35,,,
2280,37,,,
2280,39,,,
2280,40,,,
2280,42,,,
2280,45,,,
2280,46,,,
2280,47,,,
2280,48,,,
2280,49,,,
2280,52,,,
2280,522,,,
2280,53,,,
2280,54,,,
2280,55,,,
2280,57,,,
2280,58,,,
2280,60,,,
2280,61,,,
2280,62,,,
2280,63,,,
2280,64,,,
2280,65,,,
2280,66,,,
2280,68,,,
2280,70,,,
2280,71,,,
2280,72,,,
2280,73,,,
2280,77,,,
2280,81,,,
2280,82,,,
2280,88,,,
2280,89,,,
2283,12,,,
2283,13,,,
2283,14,,,
2283,16,,,
2283,17,,,
2283,18,,,
2283,19,,,
2283,200,,,
2283,22,,,
2283,23,,,
2283,25,,,
2283,251,,,
2283,26,,,
2283,27,,,
2283,304,,,
2283,31,,,
2283,32,,,
2283,321,,,
2283,323,,,
2283,328,,,
2283,330,,,
2283,34,,,
2283,35,,,
2283,37,,,
2283,39,,,
2283,40,,,
2283,42,,,
2283,45,,,
2283,46,,,
2283,47,,,
2283,48,,,
2283,49,,,
2283,52,,,
2283,522,,,
2283,53,,,
2283,54,,,
2283,55,,,
2283,57,,,
2283,58,,,
2283,60,,,
2283,61,,,
2283,62,,,
2283,63,,,
2283,64,,,
2283,65,,,
2283,66,,,
2283,68,,,
2283,70,,,
2283,71,,,
2283,72,,,
2283,73,,,
2283,77,,,
2283,81,,,
2283,82,,,
2283,88,,,
2283,89,,,
2282,900,,,
2282,901,,,
2282,902,,,
2282,911,,,
2282,912,,,
2282,913,,,
2282,914,,,
2285,900,,,
2285,901,,,
2285,902,,,
2285,911,,,
2285,912,,,
2285,913,,,
2285,914,,,
2286,10,,,
2286,201,,,
2286,822,,,
2286,823,,,
2286,824,,,
2286,825,,,
2286,826,,,
2286,827,,,
2286,828,,,
2286,831,,,
