shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
p_110932,-122.645996,38.248874,18,1103.83320769
p_110932,-122.645584,38.247882,19,1219.70194761
p_110932,-122.645362,38.247093,20,1309.41196615
p_110932,-122.645225,38.246589,21,1366.62751159
p_110932,-122.64479,38.244995,22,1547.61455081
p_110932,-122.644653,38.244556,23,1597.79815094
p_110932,-122.644233,38.24319,24,1753.81968896
p_110932,-122.644149,38.242946,25,1781.88446098
p_110932,-122.643905,38.24208,26,1880.35603458
p_110932,-122.643907,38.242071,27,1881.37027083
p_110932,-122.643891,38.242014,28,1887.85051939
p_110932,-122.643879,38.241969,29,1892.95483983
p_110932,-122.643558,38.240818,30,2023.77104269
p_110932,-122.643533,38.240726,31,2034.21503236
p_110932,-122.643416,38.240726,32,2044.45774727
p_110932,-122.643401,38.240726,33,2045.77091585
p_110932,-122.642307,38.240733,34,2141.54782471
p_110932,-122.642163,38.240739,35,2154.17182187
p_110932,-122.641412,38.240742,36,2219.91862559
p_110932,-122.641218,38.2407,37,2237.53052364
p_110932,-122.641124,38.240674,38,2246.25111925
p_110932,-122.640944,38.240606,39,2263.72364735
p_110932,-122.640257,38.240296,40,2333.01500573
p_110932,-122.639862,38.240107,41,2373.46160619
p_110932,-122.639422,38.239925,42,2416.95778611
p_110932,-122.639248,38.239846,43,2434.53444559
p_110932,-122.638962,38.239726,44,2462.89516848
p_110932,-122.636336,38.238247,45,2745.39263606
p_110932,-122.636205,38.238173,46,2759.49947345
p_110932,-122.636046,38.238084,47,2776.56889245
p_110932,-122.635883,38.237993,48,2794.05240480
p_110932,-122.635573,38.23782,49,2827.29896904
p_110932,-122.634153,38.237028,50,2979.56140001
p_110932,-122.633989,38.236937,51,2997.11661178
p_110932,-122.634072,38.236866,52,3007.83642644
p_110932,-122.634101,38.236841,53,3011.59766430
p_110932,-122.634149,38.236801,54,3017.71107635
p_110932,-122.634193,38.236752,55,3024.37609277
p_110932,-122.634278,38.236658,56,3037.19206390
p_110932,-122.634346,38.236587,57,3047.06899636
p_110932,-122.634478,38.236449,58,3066.25750873
p_110932,-122.63457,38.236351,59,3079.79298596
p_110937,-122.653747,38.256607,1,0.00000000
p_110937,-122.653366,38.256271,2,50.03066664
p_110937,-122.652938,38.255874,3,107.86913468
p_110937,-122.651809,38.255176,4,233.43958184
p_110937,-122.651695,38.255092,5,247.09614556
p_110937,-122.65158,38.255008,6,260.81679928
p_110937,-122.651481,38.254962,7,270.87452668
p_110937,-122.651222,38.254802,8,299.67275418
p_110937,-122.651168,38.254768,9,305.72115714
p_110937,-122.650787,38.254409,10,357.68344085
p_110937,-122.650421,38.25402,11,411.44900451
p_110937,-122.649978,38.253593,12,472.68666590
p_110937,-122.649024,38.252582,13,612.56752763
p_110937,-122.648025,38.251602,14,752.13724253
p_110937,-122.647781,38.251323,15,789.75709351
p_110937,-122.647224,38.250511,16,892.23176407
p_110937,-122.646179,38.249038,17,1079.58457250
p_110937,-122.645996,38.248874,18,1103.83320769
p_110937,-122.645584,38.247882,19,1219.70194761
p_110937,-122.645362,38.247093,20,1309.41196615
p_110937,-122.645359,38.247078,21,1311.09756612
p_110937,-122.645295,38.246838,22,1338.32055213
p_110937,-122.645219,38.246595,23,1366.10216673
p_110937,-122.645195,38.246491,24,1377.83589934
p_110937,-122.645088,38.246106,25,1421.58575828
p_110937,-122.645076,38.246064,26,1426.36468612
p_110937,-122.644946,38.245578,27,1481.49847567
p_110937,-122.644814,38.245095,28,1536.34310687
p_110937,-122.644789,38.24497,29,1550.38977808
p_110937,-122.644875,38.244965,30,1557.93860407
p_110937,-122.644959,38.24496,31,1565.31283665
p_110937,-122.645041,38.244955,32,1572.51249937
p_110937,-122.645449,38.244911,33,1608.56101750
p_110937,-122.646045,38.244914,34,1660.73565283
p_110937,-122.646363,38.24492,35,1688.58119433
p_110937,-122.646721,38.244923,36,1719.92211902
p_110937,-122.647531,38.244917,37,1790.83227608
p_110937,-122.648105,38.244916,38,1841.08009843
p_110937,-122.648497,38.244916,39,1875.39560093
p_110937,-122.648714,38.244909,40,1894.40756814
p_110937,-122.649052,38.24491,41,1923.99614594
p_110937,-122.649348,38.244913,42,1949.90999321
p_110937,-122.649892,38.244909,43,1997.53357996
p_110937,-122.649935,38.244912,44,2001.31248178
p_110937,-122.650232,38.244929,45,2027.38011544
p_110937,-122.650565,38.244977,46,2057.01369115
p_110937,-122.650963,38.245091,47,2094.08119939
p_110937,-122.651468,38.245246,48,2141.51857922
p_110937,-122.651608,38.245294,49,2154.88214458
p_110937,-122.651969,38.245379,50,2187.86216584
p_110937,-122.65245,38.245449,51,2230.67932531
p_110937,-122.653098,38.245565,52,2288.84752409
p_110937,-122.653703,38.245658,53,2342.80515280
p_110937,-122.654078,38.245702,54,2375.99347894
p_110937,-122.6550126859,38.2457520718,55,2458.00310439
p_110937,-122.6553848303,38.2458165427,56,2491.35684777
p_110937,-122.655963,38.245868,57,2542.29020265
p_110937,-122.655962,38.245908,58,2546.73111089
p_110937,-122.655981,38.245945,59,2551.16215170
p_110937,-122.656016,38.245974,60,2555.60616912
p_110937,-122.656063,38.245989,61,2560.04460750
p_110937,-122.656117,38.245988,62,2564.77297668
p_110937,-122.656154,38.245974,63,2568.36540514
p_110937,-122.656166,38.24597,64,2569.50584581
p_110937,-122.656201,38.245937,65,2574.28130002
p_110937,-122.656216,38.245896,66,2579.01798569
p_110937,-122.656211,38.245863,67,2582.70708010
p_110937,-122.656191,38.245832,68,2586.56789784
p_110937,-122.65616,38.245808,69,2590.37068197
p_110937,-122.656121,38.245794,70,2594.12173086
p_110937,-122.656216,38.245896,71,2608.16981517
p_110937,-122.656211,38.245863,72,2611.85890958
p_110937,-122.656191,38.245832,73,2615.71972732
p_110937,-122.65616,38.245808,74,2619.52251145
p_110937,-122.656121,38.245794,75,2623.27356034
p_110937,-122.65607,38.245791,76,2627.75042574
p_110937,-122.656022,38.245805,77,2632.23043552
p_110937,-122.655984,38.245832,78,2636.70788341
p_110937,-122.655963,38.245868,79,2641.10648714
p_110937,-122.6550181586,38.2457133892,80,2725.57824317
p_110937,-122.6545037236,38.2456446201,81,2771.25356057
p_110937,-122.65452,38.245728,82,2780.61785474
p_110937,-122.6545279211,38.2456433661,83,2790.03787171
p_110937,-122.6539017252,38.245640322,84,2844.85527176
p_110937,-122.6531793272,38.2455285721,85,2909.29819254
p_110937,-122.651964385,38.2453179659,86,3018.19190533
p_110937,-122.6514444773,38.2451933212,87,3065.76073541
p_110937,-122.6505797888,38.2449311368,88,3146.85695729
p_110937,-122.6499709896,38.2448683991,89,3200.60404067
p_110937,-122.649967,38.244901,90,3204.23959231
p_110937,-122.649892,38.244895,91,3210.83875366
p_110937,-122.649052,38.244893,92,3284.37233058
p_110937,-122.648714,38.244898,93,3313.96591066
p_110937,-122.648497,38.244916,94,3333.06678223
p_110937,-122.648105,38.244916,95,3367.38228473
p_110937,-122.647531,38.244917,96,3417.63010708
p_110937,-122.646721,38.244923,97,3488.54026414
p_110937,-122.646045,38.244914,98,3547.72542796
p_110937,-122.645449,38.244911,99,3599.90006329
p_110937,-122.645041,38.244955,100,3635.94858142
p_110937,-122.644946,38.24497,101,3644.42987395
p_110937,-122.644789,38.244995,102,3658.45092849
p_110937,-122.644728,38.244797,103,3681.06855162
p_110937,-122.64465,38.244543,104,3710.07787102
p_110937,-122.644653,38.244556,105,3711.54458840
p_110937,-122.644233,38.24319,106,3867.56612642
p_110937,-122.644149,38.242946,107,3895.63089844
p_110937,-122.643905,38.24208,108,3994.10247204
p_110937,-122.643907,38.242071,109,3995.11670829
p_110937,-122.643891,38.242014,110,4001.59695685
p_110937,-122.643879,38.241969,111,4006.70127729
p_110937,-122.643558,38.240818,112,4137.51748015
