fare_id,route_id,origin_id,destination_id,contains_id
2298,,58042,58042,
2298,,58042,58049,
2298,,58049,58042,
2298,BLUE,58049,58049,
2299,BLUE,58042,58044,
2299,BLUE,58042,58048,
2299,BLUE,58042,58050,
2299,BLUE,58042,58046,
2299,BLUE,58049,58044,
2299,BLUE,58049,58048,
2299,BLUE,58049,58050,
2299,BLUE,58049,58046,
2299,BLUE,58044,58042,
2299,BLUE,58044,58049,
2299,BLUE,58044,58048,
2299,BLUE,58044,58050,
2299,BLUE,58044,58046,
2299,BLUE,58048,58042,
2299,BLUE,58048,58049,
2299,BLUE,58048,58044,
2299,BLUE,58048,58048,
2299,BLUE,58048,58050,
2299,BLUE,58048,58046,
2299,BLUE,58050,58042,
2299,BLUE,58050,58049,
2299,BLUE,58050,58044,
2299,BLUE,58050,58048,
2299,BLUE,58050,58046,
2299,BLUE,58046,58042,
2299,BLUE,58046,58049,
2299,BLUE,58046,58044,
2299,BLUE,58046,58048,
2299,BLUE,58046,58050,
2300,,58049,58043,
2300,,58049,58044,
2300,,58049,58047,
2300,,58043,58049,
2300,,58043,58048,
2300,,58044,58049,
2300,,58048,58043,
2300,,58048,58047,
2300,,58047,58049,
2300,,58047,58048,
2301,BLUE,58042,58043,
2301,BLUE,58042,58047,
2301,BLUE,58049,58043,
2301,BLUE,58049,58047,
2301,BLUE,58043,58042,
2301,BLUE,58043,58049,
2301,BLUE,58043,58044,
2301,BLUE,58043,58048,
2301,BLUE,58043,58050,
2301,BLUE,58043,58047,
2301,BLUE,58043,58046,
2301,BLUE,58044,58043,
2301,BLUE,58044,58047,
2301,BLUE,58048,58043,
2301,BLUE,58048,58047,
2301,BLUE,58050,58043,
2301,BLUE,58050,58047,
2301,BLUE,58047,58042,
2301,BLUE,58047,58049,
2301,BLUE,58047,58043,
2301,BLUE,58047,58044,
2301,BLUE,58047,58048,
2301,BLUE,58047,58050,
2301,BLUE,58047,58046,
2301,BLUE,58046,58043,
2301,BLUE,58046,58047,
2302,GX,,,
