Agency_ID,Route_ID,Color,Hidden_Shapes
Muni,36,#008000,
Muni,37,#008000,
Muni,52,#008000,
Muni,57,#008000,
Muni,66,#008000,
Muni,67,#008000,
AC,7,#008000,
AC,20,#008000,
AC,21,#008000,
AC,28,#008000,
AC,29,#008000,
AC,35,#008000,
AC,36,#008000,
AC,39,#008000,
AC,46,#008000,
AC,52,#008000,
AC,56,#008000,
AC,70,#008000,
AC,74,#008000,
AC,79,#008000,
AC,86,#008000,
AC,96,#008000,
AC,F,#008000,
AC,NL,#008000,
AC,O,#008000,
VTA,13,#008000,
VTA,32,#008000,
VTA,35,#008000,
VTA,39,#008000,
VTA,40,#008000,
VTA,81,#008000,
VTA,54,#008000,
VTA,63,#008000,
VTA,71,#008000,
VTA,82,#008000,
SamTrans,110,#008000,
SamTrans,112,#008000,
SamTrans,140,#008000,
SamTrans,250,#008000,
SamTrans,260,#008000,
SamTrans,270,#008000,
SamTrans,274,#008000,
SamTrans,280,#008000,
SamTrans,295,#008000,
SamTrans,296,#008000,
CC,6,#008000,
CC,9,#008000,
CC,16,#008000,
CC,21,#008000,
TriDelta,381,#008000,
TriDelta,383,#008000,
TriDelta,384,#008000,
TriDelta,385,#008000,
TriDelta,388,#008000,
TriDelta,389,#008000,
Wheels,8,#008000,
SolTrans,4,#008000,
SolTrans,5,#008000,
SolTrans,6,#008000,
SolTrans,8,#008000,
SantaRosa,6,#008000,
SantaRosa,8,#008000,
SantaRosa,15,#008000,
