Agency_ID,Route_ID,Color,Hidden_Shapes
BART,Antioch - SFIA/Millbrae,#008000,
BART,Warm Springs/South Fremont - Richmond,#008000,
BART,Warm Springs/South Fremont - Daly City,#008000,
BART,Richmond - Daly City/Millbrae,#008000,
BART,Dublin/Pleasanton - Daly City,#008000,
Muni,2,#008000,
Muni,3,#008000,
Muni,10,#008000,
Muni,12,#008000,
Muni,18,#008000,
Muni,25,#008000,
Muni,27,#008000,
Muni,31,#008000,
Muni,33,#008000,
Muni,48,#008000,
Muni,55,#008000,
Muni,57,#008000,
Muni,66,#008000,
Muni,67,#008000,
AC,10,#008000,
AC,18,#008000,
AC,33,#008000,
AC,52,#008000,
AC,80,#008000,
AC,88,#008000,
VTA,25,#008000,"25_WB05,25_EB02,25_WB02,25_EB01"
VTA,66,#008000,
VTA,68,#008000,
VTA,70,#008000,
VTA,181,#008000,
